City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
290,Verkhoyansk,RU,67.5447,133.385,-17.48,100,99,1.68,overcast clouds
291,Todos Santos,MX,23.45,-110.2167,82.04,73,7,7.9,clear sky
292,Grindavik,IS,63.8424,-22.4338,41.47,93,75,6.91,broken clouds
293,Dunedin,NZ,-45.8742,170.5036,59.7,62,100,5.61,overcast clouds
294,Batagay-Alyta,RU,67.8006,130.4114,-9.29,99,100,0.27,overcast clouds
295,Hailey,US,43.5196,-114.3153,27.9,61,0,0.0,clear sky
296,Tiarei,PF,-17.5333,-149.3333,82.42,74,69,3.38,broken clouds
297,Lincoln,US,40.8,-96.667,36.01,47,0,18.41,clear sky
298,Bandarbeyla,SO,9.4942,50.8122,78.78,73,93,13.38,overcast clouds
299,Alofi,NU,-19.0595,-169.9187,80.49,74,75,11.5,broken clouds
300,Vostok,RU,46.4856,135.8833,33.84,98,100,4.65,light snow
301,Bud,US,39.447,-86.1758,53.55,59,100,15.95,overcast clouds
302,Athabasca,CA,54.7169,-113.2854,16.21,85,89,4.43,overcast clouds
303,Inuvik,CA,68.3499,-133.7218,25.81,92,20,2.3,few clouds
304,Vlore,AL,40.4667,19.4897,61.36,65,99,4.5,overcast clouds
305,Kotelnich,RU,58.3089,48.348,42.6,96,100,10.65,overcast clouds
306,Ust-Maya,RU,60.4167,134.5333,11.53,87,100,11.07,light snow
307,Dingle,PH,10.9995,122.6711,75.54,95,99,6.73,light rain
308,Provideniya,RU,64.3833,-173.3,15.67,67,1,7.38,clear sky
309,Ponta Delgada,PT,37.7333,-25.6667,57.51,76,20,4.61,few clouds
310,Fethiye,TR,36.6217,29.1164,51.67,59,0,3.2,clear sky
311,Padang,ID,-0.9492,100.3543,76.1,90,100,2.8,light rain
312,Mhlume,SZ,-26.0333,31.85,69.89,89,100,3.33,overcast clouds
313,Chara,RU,56.9064,118.2631,4.57,76,18,2.1,few clouds
314,Baiyin,CN,36.5583,104.2081,33.57,69,100,3.24,overcast clouds
315,Tasiilaq,GL,65.6145,-37.6368,33.96,66,100,21.3,overcast clouds
316,Prince Rupert,CA,54.3161,-130.3201,42.89,91,100,6.91,overcast clouds
317,Amga,RU,60.8953,131.9608,2.34,89,100,9.4,overcast clouds
318,Portland,US,45.5234,-122.6762,50.99,64,75,14.97,broken clouds
319,Lavrentiya,RU,65.5833,-171.0,16.84,77,1,8.16,clear sky
320,Homer,US,59.6425,-151.5483,37.29,88,100,14.97,moderate rain
321,Alamos,MX,27.0167,-108.9333,79.2,37,80,6.22,broken clouds
322,Avera,US,33.194,-82.5271,67.51,94,100,15.79,overcast clouds
